station_id,station_name,latitude,longitude,city,state,zip_code,grid_region,utility_zone,max_capacity_kw,total_connectors,pricing_tier,station_type,install_date
STN-0000,Boston Charging Hub 0,42.324908,-70.962321,Newton,MA,02139,ISONE_BOSTON,NSTAR,50,9,standard,suburban_lot,2022-10-14
STN-0001,Cambridge Charging Hub 1,42.396399,-71.050335,Brookline,MA,02137,ISONE_BOSTON,NATIONAL_GRID,150,10,standard,highway_rest_stop,2025-04-15
STN-0002,Boston Charging Hub 2,42.281204,-71.161001,Somerville,MA,02197,ISONE_BOSTON,EVERSOURCE_EAST,100,6,standard,suburban_lot,2023-06-04
STN-0003,Cambridge Charging Hub 3,42.261617,-70.983456,Quincy,MA,02152,ISONE_BOSTON,NATIONAL_GRID,250,12,standard,highway_rest_stop,2025-09-04
STN-0004,Waltham Charging Hub 4,42.370223,-71.022982,Cambridge,MA,02178,ISONE_BOSTON,EVERSOURCE_EAST,100,8,standard,workplace,2022-01-22
STN-0005,Newton Charging Hub 5,42.254117,-70.957523,Cambridge,MA,02137,ISONE_BOSTON,NSTAR,100,6,premium,urban_garage,2024-03-12
STN-0006,Newton Charging Hub 6,42.416489,-71.146915,Cambridge,MA,02185,ISONE_BOSTON,NATIONAL_GRID,50,8,economy,urban_garage,2023-03-15
STN-0007,Malden Charging Hub 7,42.286365,-71.154149,Brookline,MA,02195,ISONE_BOSTON,EVERSOURCE_EAST,50,5,standard,urban_garage,2024-07-09
STN-0008,Revere Charging Hub 8,42.310848,-71.068811,Quincy,MA,02135,ISONE_BOSTON,NATIONAL_GRID,350,9,economy,highway_rest_stop,2025-03-09
STN-0009,Malden Charging Hub 9,42.336389,-71.127193,Malden,MA,02141,ISONE_BOSTON,NATIONAL_GRID,350,10,premium,highway_rest_stop,2024-04-05
STN-0010,Cambridge Charging Hub 10,42.372371,-71.165127,Boston,MA,02122,ISONE_BOSTON,NSTAR,150,5,economy,urban_garage,2025-10-03
STN-0011,Revere Charging Hub 11,42.308429,-71.10841,Medford,MA,02175,ISONE_BOSTON,EVERSOURCE_EAST,150,4,economy,urban_garage,2022-11-18
STN-0012,Quincy Charging Hub 12,42.341214,-71.003706,Cambridge,MA,02145,ISONE_BOSTON,EVERSOURCE_EAST,50,7,standard,suburban_lot,2024-09-25
STN-0013,Cambridge Charging Hub 13,42.289935,-71.071441,Newton,MA,02189,ISONE_BOSTON,NATIONAL_GRID,150,5,standard,urban_garage,2024-03-18
STN-0014,Malden Charging Hub 14,42.368483,-71.188387,Boston,MA,02184,ISONE_BOSTON,EVERSOURCE_EAST,100,4,standard,workplace,2024-05-08
STN-0015,Revere Charging Hub 15,42.371509,-71.157369,Cambridge,MA,02118,ISONE_BOSTON,NATIONAL_GRID,350,12,standard,highway_rest_stop,2023-03-22
STN-0016,Malden Charging Hub 16,42.26301,-70.962779,Somerville,MA,02141,ISONE_BOSTON,NATIONAL_GRID,150,7,standard,urban_garage,2023-12-10
STN-0017,Quincy Charging Hub 17,42.443126,-70.997901,Medford,MA,02174,ISONE_BOSTON,EVERSOURCE_EAST,50,5,standard,urban_garage,2022-06-01
STN-0018,Brookline Charging Hub 18,42.310923,-71.175582,Revere,MA,02136,ISONE_BOSTON,NSTAR,50,9,economy,suburban_lot,2022-04-03
STN-0019,Quincy Charging Hub 19,42.386847,-71.089962,Cambridge,MA,02173,ISONE_BOSTON,NSTAR,100,7,standard,workplace,2023-12-19
STN-0020,Brookline Charging Hub 20,42.274408,-71.076206,Medford,MA,02160,ISONE_BOSTON,NSTAR,50,4,economy,suburban_lot,2025-06-14
STN-0021,Boston Charging Hub 21,42.256878,-70.97267,Cambridge,MA,02115,ISONE_BOSTON,EVERSOURCE_EAST,150,6,standard,urban_garage,2023-04-07
STN-0022,Somerville Charging Hub 22,42.301756,-71.034369,Waltham,MA,02131,ISONE_BOSTON,EVERSOURCE_EAST,100,5,standard,urban_garage,2025-09-04
STN-0023,Malden Charging Hub 23,42.312342,-71.069983,Boston,MA,02119,ISONE_BOSTON,NSTAR,200,9,premium,highway_rest_stop,2025-04-28
STN-0024,Boston Charging Hub 24,42.359342,-71.153786,Somerville,MA,02156,ISONE_BOSTON,NSTAR,100,6,premium,urban_garage,2024-07-23
STN-0025,Malden Charging Hub 25,42.443917,-71.006217,Medford,MA,02127,ISONE_BOSTON,NSTAR,100,5,standard,workplace,2022-12-11
STN-0026,Revere Charging Hub 26,42.4379,-70.976293,Medford,MA,02172,ISONE_BOSTON,NATIONAL_GRID,200,6,economy,highway_rest_stop,2022-03-03
STN-0027,Brookline Charging Hub 27,42.36958,-70.969531,Waltham,MA,02123,ISONE_BOSTON,NATIONAL_GRID,50,8,economy,suburban_lot,2022-10-03
STN-0028,Revere Charging Hub 28,42.267699,-71.151004,Revere,MA,02174,ISONE_BOSTON,EVERSOURCE_EAST,100,5,economy,urban_garage,2024-04-09
STN-0029,Newton Charging Hub 29,42.259045,-71.118667,Medford,MA,02148,ISONE_BOSTON,NSTAR,50,7,economy,urban_garage,2022-02-18
STN-0030,Newton Charging Hub 30,42.327735,-71.132163,Somerville,MA,02152,ISONE_BOSTON,NSTAR,50,6,premium,urban_garage,2023-08-27
STN-0031,Newton Charging Hub 31,42.415748,-71.110812,Revere,MA,02191,ISONE_BOSTON,NATIONAL_GRID,50,8,premium,urban_garage,2022-03-09
STN-0032,Cambridge Charging Hub 32,42.306187,-71.064326,Malden,MA,02127,ISONE_BOSTON,EVERSOURCE_EAST,250,10,standard,highway_rest_stop,2024-04-22
STN-0033,Newton Charging Hub 33,42.278185,-70.999451,Malden,MA,02170,ISONE_BOSTON,EVERSOURCE_EAST,50,4,economy,suburban_lot,2025-05-02
STN-0034,Somerville Charging Hub 34,42.26491,-70.953278,Newton,MA,02128,ISONE_BOSTON,NATIONAL_GRID,350,10,economy,highway_rest_stop,2025-09-01
STN-0035,Somerville Charging Hub 35,42.404449,-71.150321,Malden,MA,02112,ISONE_BOSTON,EVERSOURCE_EAST,200,9,standard,highway_rest_stop,2022-05-12
STN-0036,Boston Charging Hub 36,42.251104,-70.996135,Quincy,MA,02134,ISONE_BOSTON,NATIONAL_GRID,50,4,premium,workplace,2025-10-24
STN-0037,Brookline Charging Hub 37,42.391371,-71.017748,Somerville,MA,02130,ISONE_BOSTON,EVERSOURCE_EAST,50,5,economy,urban_garage,2024-07-26
STN-0038,Brookline Charging Hub 38,42.404254,-71.181489,Newton,MA,02128,ISONE_BOSTON,NATIONAL_GRID,50,7,standard,suburban_lot,2025-04-07
STN-0039,Medford Charging Hub 39,42.321693,-71.171033,Quincy,MA,02147,ISONE_BOSTON,NSTAR,50,4,economy,suburban_lot,2023-07-11
STN-0040,Cambridge Charging Hub 40,42.422621,-71.044175,Newton,MA,02152,ISONE_BOSTON,NATIONAL_GRID,150,7,economy,urban_garage,2024-01-04
STN-0041,Newton Charging Hub 41,42.31618,-71.18411,Somerville,MA,02182,ISONE_BOSTON,EVERSOURCE_EAST,50,4,economy,workplace,2025-06-24
STN-0042,Waltham Charging Hub 42,42.312196,-71.118704,Revere,MA,02173,ISONE_BOSTON,NSTAR,100,8,standard,suburban_lot,2024-01-23
STN-0043,Malden Charging Hub 43,42.395921,-71.040611,Malden,MA,02195,ISONE_BOSTON,NATIONAL_GRID,150,5,premium,urban_garage,2025-02-22
